index  support   support_data
 70    875.000        frozenset({'pastry'})
 71    269.000        frozenset({'specialty bar'})
 72    33.000        frozenset({'nuts/prunes'})
 73    163.000        frozenset({'processed cheese'})
 74    576.000        frozenset({'margarine'})
 75    26.000        frozenset({'soap'})
 76    64.000        frozenset({'finished products'})
 77    109.000        frozenset({'liquor'})
 78    75.000        frozenset({'rice'})
 79    378.000        frozenset({'waffles'})
 80    68.000        frozenset({'zwieback'})
 81    764.000        frozenset({'canned beer'})
 82    56.000        frozenset({'cereals'})
 83    256.000        frozenset({'beverages'})
 84    711.000        frozenset({'fruit/vegetable juice'})
 85    2513.000        frozenset({'whole milk'})
 86    324.000        frozenset({'hygiene articles'})
 87    106.000        frozenset({'frozen dessert'})
 88    390.000        frozenset({'cream cheese'})
 89    241.000        frozenset({'hard cheese'})
 90    254.000        frozenset({'meat'})
 91    1072.000        frozenset({'root vegetables'})
 92    45.000        frozenset({'male cosmetics'})
 93    792.000        frozenset({'bottled beer'})
 94    744.000        frozenset({'pip fruit'})
 95    515.000        frozenset({'napkins'})
 96    279.000        frozenset({'misc. beverages'})
 97    176.000        frozenset({'pickled vegetables'})
 98    78.000        frozenset({'liquor (appetizer)'})
 99    101.000        frozenset({'roll products'})
 100   638.000        frozenset({'brown bread'})
 101   32.000        frozenset({'syrup'})
 102   42.000        frozenset({'meat spreads'})
 103   118.000        frozenset({'mustard'})
 104   101.000        frozenset({'condensed milk'})
 105   57.000        frozenset({'dental care'})
 106   785.000        frozenset({'newspapers'})
 107   365.000        frozenset({'dessert'})
 108   44.000        frozenset({'rum'})
 109   327.000        frozenset({'hamburger meat'})
 110   84.000        frozenset({'specialty cheese'})
 111   64.000        frozenset({'vinegar'})
 112   279.000        frozenset({'frozen meals'})
 113   1087.000        frozenset({'bottled water'})
 114   173.000        frozenset({'dishes'})
 115   71.000        frozenset({'popcorn'})
 116   170.000        frozenset({'potted plants'})
 117   140.000        frozenset({'seasonal products'})
 118   705.000        frozenset({'whipped/sour cream'})
 119   924.000        frozenset({'sausage'})
 120   90.000        frozenset({'mayonnaise'})
 121   422.000        frozenset({'chicken'})
 122   1715.000        frozenset({'soda'})
 123   327.000        frozenset({'berries'})
 124   89.000        frozenset({'chocolate marshmallow'})
 125   624.000        frozenset({'domestic eggs'})
 126   80.000        frozenset({'turkey'})
 127   79.000        frozenset({'Instant food products'})
 128   35.000        frozenset({'skin care'})
 129   207.000        frozenset({'chewing gum'})
 130   35.000        frozenset({'abrasive cleaner'})
 131   89.000        frozenset({'sweet spreads'})
 132   148.000        frozenset({'canned fish'})
 133   814.000        frozenset({'citrus fruit'})
 134   110.000        frozenset({'spread cheese'})
 135   50.000        frozenset({'cleaner'})
 136   333.000        frozenset({'sugar'})
 137   488.000        frozenset({'chocolate'})
 138   102.000        frozenset({'flower (seeds)'})
 139   174.000        frozenset({'semi-finished bread'})
 140   189.000        frozenset({'detergent'})
 141   106.000        frozenset({'salt'})
 142   93.000        frozenset({'pet care'})
 143   65.000        frozenset({'frozen vegetables', 'citrus fruit'})
 144   101.000        frozenset({'bottled water', 'margarine'})
 145   117.000        frozenset({'pastry', 'shopping bags'})
 146   33.000        frozenset({'sugar', 'napkins'})
 147   39.000        frozenset({'yogurt', 'detergent'})
 148   26.000        frozenset({'sugar', 'hygiene articles'})
 149   40.000        frozenset({'bottled water', 'berries'})
 150   151.000        frozenset({'newspapers', 'yogurt'})
 151   66.000        frozenset({'chicken', 'frozen vegetables'})
 152   26.000        frozenset({'tropical fruit', 'frozen dessert'})
 153   47.000        frozenset({'long life bakery product', 'napkins'})
 154   86.000        frozenset({'bottled water', 'whipped/sour cream'})
 155   99.000        frozenset({'fruit/vegetable juice', 'sausage'})
 156   39.000        frozenset({'frozen dessert', 'whole milk'})
 157   40.000        frozenset({'flour', 'whipped/sour cream'})
 158   257.000        frozenset({'curd', 'whole milk'})
 159   36.000        frozenset({'root vegetables', 'ham'})
 160   28.000        frozenset({'flour', 'soda'})
 161   75.000        frozenset({'curd', 'sausage'})
 162   49.000        frozenset({'whole milk', 'frozen fish'})
 163   30.000        frozenset({'chocolate', 'canned beer'})
 164   33.000        frozenset({'long life bakery product', 'salty snack'})
 165   40.000        frozenset({'pasta', 'soda'})
 166   48.000        frozenset({'chocolate', 'napkins'})
 167   62.000        frozenset({'pastry', 'pork'})
 168   184.000        frozenset({'other vegetables', 'brown bread'})
 169   265.000        frozenset({'other vegetables', 'sausage'})
 170   30.000        frozenset({'pickled vegetables', 'citrus fruit'})
 171   26.000        frozenset({'beef', 'dessert'})
 172   145.000        frozenset({'hamburger meat', 'whole milk'})
 173   48.000        frozenset({'root vegetables', 'UHT-milk'})
 174   59.000        frozenset({'yogurt', 'soft cheese'})
 175   118.000        frozenset({'soda', 'napkins'})
 176   116.000        frozenset({'chocolate', 'rolls/buns'})
 177   175.000        frozenset({'other vegetables', 'frozen vegetables'})
 178   26.000        frozenset({'tropical fruit', 'mustard'})
 179   46.000        frozenset({'roll products', 'whole milk'})
 180   32.000        frozenset({'pork', 'salty snack'})
 181   35.000        frozenset({'waffles', 'butter'})
 182   35.000        frozenset({'sweet spreads', 'whole milk'})
 183   42.000        frozenset({'other vegetables', 'pasta'})
 184   62.000        frozenset({'other vegetables', 'flour'})
 185   29.000        frozenset({'root vegetables', 'ice cream'})
 186   41.000        frozenset({'hard cheese', 'fruit/vegetable juice'})
 187   82.000        frozenset({'domestic eggs', 'margarine'})
 188   25.000        frozenset({'UHT-milk', 'napkins'})
 189   136.000        frozenset({'hamburger meat', 'other vegetables'})
 190   43.000        frozenset({'sausage', 'hygiene articles'})
 191   167.000        frozenset({'bottled beer', 'soda'})
 192   52.000        frozenset({'chicken', 'sausage'})
 193   183.000        frozenset({'root vegetables', 'soda'})
 194   70.000        frozenset({'newspapers', 'margarine'})
 195   31.000        frozenset({'beef', 'oil'})
 196   111.000        frozenset({'rolls/buns', 'canned beer'})
 197   37.000        frozenset({'butter milk', 'bottled water'})
 198   33.000        frozenset({'root vegetables', 'mustard'})
 199   43.000        frozenset({'butter', 'hygiene articles'})
 200   40.000        frozenset({'pip fruit', 'salty snack'})
 201   46.000        frozenset({'other vegetables', 'frozen fish'})
 202   81.000        frozenset({'bottled water', 'brown bread'})
 203   84.000        frozenset({'margarine', 'pip fruit'})
 204   72.000        frozenset({'pip fruit', 'butter'})
 205   28.000        frozenset({'ham', 'citrus fruit'})
 206   33.000        frozenset({'waffles', 'curd'})
 207   70.000        frozenset({'coffee', 'tropical fruit'})
 208   31.000        frozenset({'canned beer', 'napkins'})
 209   47.000        frozenset({'yogurt', 'specialty chocolate'})
 210   25.000        frozenset({'bottled water', 'potted plants'})
 211   193.000        frozenset({'yogurt', 'sausage'})
 212   44.000        frozenset({'hard cheese', 'whipped/sour cream'})
 213   38.000        frozenset({'yogurt', 'potted plants'})
 214   26.000        frozenset({'berries', 'grapes'})
 215   105.000        frozenset({'pastry', 'pip fruit'})
 216   89.000        frozenset({'whipped/sour cream', 'berries'})
 217   192.000        frozenset({'rolls/buns', 'shopping bags'})
 218   72.000        frozenset({'soda', 'berries'})
 219   59.000        frozenset({'domestic eggs', 'beef'})
 220   68.000        frozenset({'pastry', 'coffee'})
 221   31.000        frozenset({'frozen vegetables', 'onions'})
 222   55.000        frozenset({'shopping bags', 'bottled beer'})
 223   34.000        frozenset({'pork', 'hygiene articles'})
 224   427.000        frozenset({'other vegetables', 'yogurt'})
 225   25.000        frozenset({'yogurt', 'cling film/bags'})
 226   40.000        frozenset({'root vegetables', 'canned beer'})
 227   30.000        frozenset({'hard cheese', 'shopping bags'})
 228   67.000        frozenset({'rolls/buns', 'onions'})
 229   30.000        frozenset({'dessert', 'UHT-milk'})
 230   213.000        frozenset({'other vegetables', 'pork'})
 231   72.000        frozenset({'yogurt', 'hygiene articles'})
 232   27.000        frozenset({'yogurt', 'mayonnaise'})
 233   50.000        frozenset({'curd', 'cream cheese'})
 234   31.000        frozenset({'sugar', 'butter'})
 235   90.000        frozenset({'waffles', 'rolls/buns'})
 236   25.000        frozenset({'herbs', 'frozen vegetables'})
 237   301.000        frozenset({'rolls/buns', 'sausage'})
 238   222.000        frozenset({'pastry', 'other vegetables'})
 239   29.000        frozenset({'beef', 'sugar'})
 240   45.000        frozenset({'newspapers', 'coffee'})
 241   28.000        frozenset({'potted plants', 'rolls/buns'})
 242   36.000        frozenset({'frankfurter', 'chicken'})
 243   68.000        frozenset({'fruit/vegetable juice', 'napkins'})
 244   62.000        frozenset({'specialty chocolate', 'soda'})
 245   40.000        frozenset({'hard cheese', 'tropical fruit'})
 246   64.000        frozenset({'pork', 'sausage'})
 247   55.000        frozenset({'cream cheese', 'shopping bags'})
 248   114.000        frozenset({'root vegetables', 'frozen vegetables'})
 249   25.000        frozenset({'sliced cheese', 'coffee'})
 250   49.000        frozenset({'rolls/buns', 'salty snack'})
 251   68.000        frozenset({'coffee', 'pip fruit'})
 252   27.000        frozenset({'detergent', 'frozen vegetables'})
 253   92.000        frozenset({'margarine', 'tropical fruit'})
 254   42.000        frozenset({'chocolate', 'pork'})
 255   26.000        frozenset({'pastry', 'meat'})
 256   72.000        frozenset({'misc. beverages', 'soda'})
 257   31.000        frozenset({'pork', 'oil'})
 258   72.000        frozenset({'sugar', 'soda'})
 259   557.000        frozenset({'rolls/buns', 'whole milk'})
 260   98.000        frozenset({'rolls/buns', 'cream cheese'})
 261   36.000        frozenset({'other vegetables', 'seasonal products'})
 262   69.000        frozenset({'bottled beer', 'fruit/vegetable juice'})
 263   58.000        frozenset({'bottled water', 'cream cheese'})
 264   54.000        frozenset({'waffles', 'shopping bags'})
 265   55.000        frozenset({'root vegetables', 'hard cheese'})
 266   45.000        frozenset({'yogurt', 'baking powder'})
 267   209.000        frozenset({'beef', 'whole milk'})
 268   38.000        frozenset({'sliced cheese', 'whipped/sour cream'})
 269   29.000        frozenset({'shopping bags', 'cake bar'})
 270   86.000        frozenset({'tropical fruit', 'frozen vegetables'})
 271   48.000        frozenset({'beef', 'pip fruit'})
 272   31.000        frozenset({'whole milk', 'chocolate marshmallow'})
 273   27.000        frozenset({'chocolate', 'ham'})
 274   55.000        frozenset({'domestic eggs', 'pork'})
 275   39.000        frozenset({'misc. beverages', 'fruit/vegetable juice'})
 276   63.000        frozenset({'newspapers', 'beef'})
 277   26.000        frozenset({'ham', 'margarine'})
 278   59.000        frozenset({'frozen vegetables', 'sausage'})
 279   35.000        frozenset({'bottled water', 'hard cheese'})
 280   44.000        frozenset({'soda', 'cake bar'})
 281   294.000        frozenset({'whole milk', 'sausage'})
 282   106.000        frozenset({'sausage', 'pip fruit'})
 283   35.000        frozenset({'shopping bags', 'sugar'})
 284   25.000        frozenset({'frozen meals', 'newspapers'})
 285   31.000        frozenset({'chicken', 'berries'})
 286   57.000        frozenset({'bottled beer', 'butter'})
 287   73.000        frozenset({'white bread', 'fruit/vegetable juice'})
 288   45.000        frozenset({'frozen meals', 'pip fruit'})
 289   29.000        frozenset({'pork', 'cream cheese'})
 290   75.000        frozenset({'pastry', 'butter'})
 291   67.000        frozenset({'pastry', 'margarine'})
 292   26.000        frozenset({'vinegar', 'whole milk'})
 293   97.000        frozenset({'frozen meals', 'whole milk'})
 294   75.000        frozenset({'soda', 'UHT-milk'})
 295   34.000        frozenset({'sausage', 'soft cheese'})
 296   60.000        frozenset({'coffee', 'whipped/sour cream'})
 297   55.000        frozenset({'beef', 'sausage'})
 298   33.000        frozenset({'whole milk', 'mayonnaise'})
 299   51.000        frozenset({'bottled water', 'dessert'})
 300   31.000        frozenset({'flour', 'curd'})
 301   52.000        frozenset({'chocolate', 'long life bakery product'})
 302   47.000        frozenset({'brown bread', 'napkins'})
 303   25.000        frozenset({'shopping bags', 'liquor'})
 304   50.000        frozenset({'domestic eggs', 'cream cheese'})
 305   26.000        frozenset({'whole milk', 'white wine'})
 306   141.000        frozenset({'root vegetables', 'domestic eggs'})
 307   39.000        frozenset({'white bread', 'dessert'})
 308   41.000        frozenset({'pork', 'white bread'})
 309   135.000        frozenset({'other vegetables', 'white bread'})
 310   49.000        frozenset({'butter', 'napkins'})
 311   75.000        frozenset({'beef', 'tropical fruit'})
 312   92.000        frozenset({'shopping bags', 'pip fruit'})
 313   43.000        frozenset({'other vegetables', 'potted plants'})
 314   58.000        frozenset({'dessert', 'sausage'})
 315   28.000        frozenset({'white bread', 'sugar'})
 316   32.000        frozenset({'pork', 'UHT-milk'})
 317   46.000        frozenset({'root vegetables', 'flour'})
 318   34.000        frozenset({'curd', 'chicken'})
 319   32.000        frozenset({'butter milk', 'frankfurter'})
 320   91.000        frozenset({'yogurt', 'bottled beer'})
 321   99.000        frozenset({'other vegetables', 'waffles'})
 322   41.000        frozenset({'newspapers', 'waffles'})
 323   30.000        frozenset({'sausage', 'pickled vegetables'})
 324   28.000        frozenset({'frankfurter', 'canned beer'})
 325   89.000        frozenset({'domestic eggs', 'shopping bags'})
 326   34.000        frozenset({'baking powder', 'citrus fruit'})
 327   45.000        frozenset({'butter milk', 'soda'})
 328   31.000        frozenset({'hard cheese', 'citrus fruit'})
 329   25.000        frozenset({'chicken', 'sugar'})
 330   46.000        frozenset({'tropical fruit', 'oil'})
 331   67.000        frozenset({'curd', 'butter'})
 332   42.000        frozenset({'white bread', 'butter'})
 333   44.000        frozenset({'waffles', 'pip fruit'})
 334   32.000        frozenset({'pastry', 'semi-finished bread'})
 335   104.000        frozenset({'bottled water', 'pip fruit'})
 336   89.000        frozenset({'other vegetables', 'grapes'})
 337   125.000        frozenset({'waffles', 'whole milk'})
 338   31.000        frozenset({'hamburger meat', 'curd'})
 339   338.000        frozenset({'bottled water', 'whole milk'})
 340   42.000        frozenset({'bottled water', 'long life bakery product'})
 341   29.000        frozenset({'pastry', 'processed cheese'})
 342   34.000        frozenset({'waffles', 'pork'})
 343   49.000        frozenset({'ham', 'sausage'})
 344   189.000        frozenset({'frankfurter', 'rolls/buns'})
 345   63.000        frozenset({'pork', 'frozen vegetables'})
 346   30.000        frozenset({'hard cheese', 'pip fruit'})
 347   168.000        frozenset({'white bread', 'whole milk'})
 348   25.000        frozenset({'other vegetables', 'condensed milk'})
 349   34.000        frozenset({'cream cheese', 'white bread'})
 350   65.000        frozenset({'white bread', 'pip fruit'})
 351   134.000        frozenset({'rolls/buns', 'bottled beer'})
 352   31.000        frozenset({'ham', 'butter'})
 353   33.000        frozenset({'butter milk', 'pastry'})
 354   71.000        frozenset({'shopping bags', 'napkins'})
 355   27.000        frozenset({'chocolate', 'oil'})
 356   61.000        frozenset({'bottled water', 'beef'})
 357   34.000        frozenset({'newspapers', 'white bread'})
 358   38.000        frozenset({'sliced cheese', 'bottled water'})
 359   162.000        frozenset({'cream cheese', 'whole milk'})
 360   55.000        frozenset({'cream cheese', 'sausage'})
 361   27.000        frozenset({'root vegetables', 'dishes'})
 362   57.000        frozenset({'domestic eggs', 'white bread'})
 363   60.000        frozenset({'cream cheese', 'pip fruit'})
 364   89.000        frozenset({'other vegetables', 'canned beer'})
 365   74.000        frozenset({'frozen meals', 'other vegetables'})
 366   35.000        frozenset({'frankfurter', 'dessert'})
 367   59.000        frozenset({'shopping bags', 'salty snack'})
 368   30.000        frozenset({'hamburger meat', 'margarine'})
 369   162.000        frozenset({'other vegetables', 'frankfurter'})
 370   36.000        frozenset({'turkey', 'whole milk'})
 371   44.000        frozenset({'pork', 'sugar'})
 372   45.000        frozenset({'misc. beverages', 'tropical fruit'})
 373   32.000        frozenset({'newspapers', 'cream cheese'})
 374   60.000        frozenset({'margarine', 'bottled beer'})
 375   48.000        frozenset({'whipped/sour cream', 'dessert'})
 376   71.000        frozenset({'tropical fruit', 'cream cheese'})
 377   66.000        frozenset({'tropical fruit', 'hygiene articles'})
 378   33.000        frozenset({'root vegetables', 'specialty chocolate'})
 379   201.000        frozenset({'tropical fruit', 'pip fruit'})
 380   61.000        frozenset({'bottled water', 'frozen vegetables'})
 381   63.000        frozenset({'margarine', 'frankfurter'})
 382   66.000        frozenset({'pip fruit', 'napkins'})
 383   31.000        frozenset({'frankfurter', 'salty snack'})
 384   66.000        frozenset({'sausage', 'napkins'})
 385   27.000        frozenset({'napkins', 'dishes'})
 386   48.000        frozenset({'pork', 'fruit/vegetable juice'})
 387   100.000        frozenset({'rolls/buns', 'frozen vegetables'})
 388   143.000        frozenset({'rolls/buns', 'fruit/vegetable juice'})
 389   78.000        frozenset({'root vegetables', 'white bread'})
 390   31.000        frozenset({'chocolate', 'specialty chocolate'})
 391   40.000        frozenset({'salty snack', 'napkins'})
 392   32.000        frozenset({'rolls/buns', 'dishes'})
 393   113.000        frozenset({'root vegetables', 'newspapers'})
 394   68.000        frozenset({'domestic eggs', 'newspapers'})
 395   87.000        frozenset({'canned beer', 'whole milk'})
 396   30.000        frozenset({'bottled water', 'meat'})
 397   30.000        frozenset({'whipped/sour cream', 'soft cheese'})
 398   64.000        frozenset({'rolls/buns', 'white bread'})
 399   52.000        frozenset({'yogurt', 'meat'})
 400   64.000        frozenset({'frankfurter', 'citrus fruit'})
 401   74.000        frozenset({'root vegetables', 'cream cheese'})
 402   38.000        frozenset({'frozen vegetables', 'long life bakery product'})
 403   207.000        frozenset({'other vegetables', 'fruit/vegetable juice'})
 404   153.000        frozenset({'root vegetables', 'pip fruit'})
 405   69.000        frozenset({'soda', 'hygiene articles'})
 406   77.000        frozenset({'bottled beer', 'sausage'})
 407   111.000        frozenset({'oil', 'whole milk'})
 408   38.000        frozenset({'brown bread', 'meat'})
 409   32.000        frozenset({'pork', 'berries'})
 410   38.000        frozenset({'pork', 'onions'})
 411   99.000        frozenset({'frankfurter', 'sausage'})
 412   49.000        frozenset({'flour', 'sugar'})
 413   49.000        frozenset({'root vegetables', 'salty snack'})
 414   73.000        frozenset({'yogurt', 'UHT-milk'})
 415   43.000        frozenset({'sliced cheese', 'shopping bags'})
 416   31.000        frozenset({'newspapers', 'oil'})
 417   122.000        frozenset({'yogurt', 'frozen vegetables'})
 418   69.000        frozenset({'domestic eggs', 'frankfurter'})
 419   74.000        frozenset({'waffles', 'yogurt'})
 420   39.000        frozenset({'bottled water', 'specialty chocolate'})
 421   45.000        frozenset({'red/blush wine', 'soda'})
 422   61.000        frozenset({'chocolate', 'butter'})
 423   32.000        frozenset({'other vegetables', 'mustard'})
 424   25.000        frozenset({'chocolate', 'frozen vegetables'})
 425   89.000        frozenset({'yogurt', 'white bread'})
 426   47.000        frozenset({'pastry', 'chicken'})
 427   78.000        frozenset({'rolls/buns', 'long life bakery product'})
 428   26.000        frozenset({'domestic eggs', 'cat food'})
 429   26.000        frozenset({'domestic eggs', 'candy'})
 430   45.000        frozenset({'pastry', 'hygiene articles'})
 431   40.000        frozenset({'soda', 'pickled vegetables'})
 432   29.000        frozenset({'soups', 'whole milk'})
 433   37.000        frozenset({'chocolate', 'cream cheese'})
 434   36.000        frozenset({'butter milk', 'sausage'})
 435   63.000        frozenset({'root vegetables', 'sugar'})
 436   94.000        frozenset({'fruit/vegetable juice', 'pip fruit'})
 437   51.000        frozenset({'pork', 'bottled beer'})
 438   25.000        frozenset({'ham', 'napkins'})
 439   50.000        frozenset({'root vegetables', 'meat'})
 440   122.000        frozenset({'yogurt', 'cream cheese'})
 441   48.000        frozenset({'red/blush wine', 'bottled beer'})
 442   47.000        frozenset({'beef', 'chicken'})
 443   177.000        frozenset({'yogurt', 'pip fruit'})
 444   52.000        frozenset({'soda', 'processed cheese'})
 445   81.000        frozenset({'newspapers', 'fruit/vegetable juice'})
 446   102.000        frozenset({'fruit/vegetable juice', 'citrus fruit'})
 447   27.000        frozenset({'beverages', 'sausage'})
 448   28.000        frozenset({'cream cheese', 'long life bakery product'})
 449   132.000        frozenset({'rolls/buns', 'butter'})
 450   54.000        frozenset({'frozen meals', 'tropical fruit'})
 451   71.000        frozenset({'white bread', 'sausage'})
 452   35.000        frozenset({'herbs', 'yogurt'})
 453   27.000        frozenset({'hamburger meat', 'newspapers'})
 454   28.000        frozenset({'butter', 'candy'})
 455   36.000        frozenset({'sugar', 'sausage'})
 456   55.000        frozenset({'onions', 'citrus fruit'})
 457   26.000        frozenset({'frozen meals', 'bottled beer'})
 458   52.000        frozenset({'sliced cheese', 'tropical fruit'})
 459   60.000        frozenset({'bottled water', 'curd'})
 460   206.000        frozenset({'pastry', 'rolls/buns'})
 461   53.000        frozenset({'yogurt', 'canned beer'})
 462   44.000        frozenset({'hamburger meat', 'pip fruit'})
 463   36.000        frozenset({'whole milk', 'cereals'})
 464   40.000        frozenset({'waffles', 'long life bakery product'})
 465   98.000        frozenset({'whole milk', 'meat'})
 466   49.000        frozenset({'tropical fruit', 'UHT-milk'})
 467   27.000        frozenset({'dessert', 'butter'})
 468   31.000        frozenset({'beef', 'onions'})
 469   52.000        frozenset({'yogurt', 'oil'})
 470   45.000        frozenset({'newspapers', 'frozen vegetables'})
 471   42.000        frozenset({'waffles', 'citrus fruit'})
 472   25.000        frozenset({'root vegetables', 'turkey'})
 473   98.000        frozenset({'domestic eggs', 'whipped/sour cream'})
 474   47.000        frozenset({'roll products', 'other vegetables'})
 475   37.000        frozenset({'sliced cheese', 'butter'})
 476   70.000        frozenset({'margarine', 'sausage'})
 477   45.000        frozenset({'chewing gum', 'other vegetables'})
 478   26.000        frozenset({'bottled beer', 'canned beer'})
 479   85.000        frozenset({'bottled water', 'napkins'})
 480   30.000        frozenset({'canned vegetables', 'soda'})
 481   29.000        frozenset({'chocolate', 'specialty bar'})
 482   72.000        frozenset({'frozen vegetables', 'pip fruit'})
 483   47.000        frozenset({'tropical fruit', 'cat food'})
 484   53.000        frozenset({'tropical fruit', 'candy'})
 485   41.000        frozenset({'coffee', 'canned beer'})
 486   201.000        frozenset({'frozen vegetables', 'whole milk'})
 487   29.000        frozenset({'newspapers', 'salty snack'})
 488   51.000        frozenset({'bottled beer', 'napkins'})
 489   75.000        frozenset({'butter milk', 'rolls/buns'})
 490   40.000        frozenset({'ice cream', 'tropical fruit'})
 491   244.000        frozenset({'bottled water', 'other vegetables'})
 492   27.000        frozenset({'chicken', 'cream cheese'})
 493   70.000        frozenset({'other vegetables', 'soft cheese'})
 494   26.000        frozenset({'oil', 'hygiene articles'})
 495   93.000        frozenset({'root vegetables', 'onions'})
 496   36.000        frozenset({'chicken', 'brown bread'})
 497   419.000        frozenset({'other vegetables', 'rolls/buns'})
 498   56.000        frozenset({'cream cheese', 'citrus fruit'})
 499   52.000        frozenset({'citrus fruit', 'hygiene articles'})
 500   99.000        frozenset({'curd', 'rolls/buns'})
 501   110.000        frozenset({'whole milk', 'salty snack'})
 502   35.000        frozenset({'frozen vegetables', 'white bread'})
 503   91.000        frozenset({'chocolate', 'yogurt'})
 504   111.000        frozenset({'frankfurter', 'soda'})
 505   57.000        frozenset({'chicken', 'butter'})
 506   83.000        frozenset({'pastry', 'newspapers'})
 507   207.000        frozenset({'root vegetables', 'tropical fruit'})
 508   49.000        frozenset({'domestic eggs', 'sugar'})
 509   136.000        frozenset({'canned beer', 'soda'})
 510   89.000        frozenset({'fruit/vegetable juice', 'whipped/sour cream'})
 511   101.000        frozenset({'curd', 'tropical fruit'})
 512   30.000        frozenset({'whipped/sour cream', 'grapes'})
 513   46.000        frozenset({'root vegetables', 'cat food'})
 514   42.000        frozenset({'root vegetables', 'candy'})
 515   47.000        frozenset({'curd', 'napkins'})
 516   42.000        frozenset({'rolls/buns', 'mustard'})
 517   105.000        frozenset({'other vegetables', 'long life bakery product'})
 518   41.000        frozenset({'white bread', 'processed cheese'})
 519   327.000        frozenset({'pastry', 'whole milk'})
 520   33.000        frozenset({'frozen meals', 'citrus fruit'})
 521   46.000        frozenset({'bottled beer', 'liquor'})
 522   39.000        frozenset({'rolls/buns', 'cat food'})
 523   70.000        frozenset({'rolls/buns', 'candy'})
 524   45.000        frozenset({'long life bakery product', 'pip fruit'})
 525   30.000        frozenset({'whipped/sour cream', 'UHT-milk'})
 526   99.000        frozenset({'tropical fruit', 'napkins'})
 527   65.000        frozenset({'rolls/buns', 'berries'})
 528   97.000        frozenset({'dessert', 'soda'})
 529   107.000        frozenset({'root vegetables', 'curd'})
 530   26.000        frozenset({'root vegetables', 'frozen fish'})
 531   196.000        frozenset({'tropical fruit', 'citrus fruit'})
 532   36.000        frozenset({'chocolate', 'dessert'})
 533   37.000        frozenset({'waffles', 'margarine'})
 534   51.000        frozenset({'domestic eggs', 'frozen vegetables'})
 535   30.000        frozenset({'Instant food products', 'hamburger meat'})
 536   51.000        frozenset({'pastry', 'sugar'})
 537   29.000        frozenset({'pip fruit', 'soft cheese'})
 538   34.000        frozenset({'frozen potato products', 'whole milk'})
 539   108.000        frozenset({'bottled water', 'shopping bags'})
 540   61.000        frozenset({'yogurt', 'cat food'})
 541   54.000        frozenset({'yogurt', 'candy'})
 542   31.000        frozenset({'chocolate', 'margarine'})
 543   59.000        frozenset({'fruit/vegetable juice', 'dessert'})
 544   29.000        frozenset({'newspapers', 'ice cream'})
